window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
62,2022-10-17 06:57:00,2023-06-17 06:27:00,2023-06-17 07:09:00,2023-07-17 06:39:00,2023-08-17 07:06:00,2023-09-17 06:42:00,39763,5212,5072,0.4463740289211273,32,0.2,0.001,0.8188347816467285,0.8224557638168335,0.7169720530509949,0.7660999298095703,1.3848496439559204,1808,0.0007659566614800445
63,2022-11-17 07:03:00,2023-07-17 06:39:00,2023-07-17 06:57:00,2023-08-17 06:48:00,2023-09-17 07:27:00,2023-10-17 06:54:00,39854,4770,4939,0.4285861849784851,32,0.2,0.001,0.804263174533844,0.8233602046966553,0.6883116960525513,0.7498034834861755,1.314426484652483,1738,0.0007562868151049959
64,2022-12-17 07:06:00,2023-08-17 06:48:00,2023-08-17 07:06:00,2023-09-17 06:42:00,2023-10-17 06:57:00,2023-11-17 06:48:00,40080,5072,5707,0.42474156618118286,32,0.2,0.001,0.7811227440834045,0.8365662693977356,0.707010805606842,0.766351580619812,2.625243205901296,2423,0.0010834680998354502
65,2023-01-17 06:57:00,2023-09-17 06:42:00,2023-09-17 07:27:00,2023-10-17 06:54:00,2023-11-17 07:06:00,2023-12-17 06:51:00,40619,4939,5506,0.4381152391433716,32,0.2,0.001,0.7868160009384155,0.8592274785041809,0.7061728239059448,0.7752178311347961,2.4628498207531235,2330,0.0010570170904519844
66,2023-02-17 06:57:00,2023-10-17 06:54:00,2023-10-17 06:57:00,2023-11-17 06:48:00,2023-12-17 07:06:00,2024-01-17 06:45:00,40550,5707,5876,0.47351378202438354,32,0.2,0.001,0.7757909297943115,0.8406358957290649,0.7082652449607849,0.7687942981719971,3.034192911814201,2579,0.00117649977193261
67,2023-03-17 07:12:00,2023-11-17 06:48:00,2023-11-17 07:06:00,2023-12-17 06:51:00,2024-01-17 07:03:00,2024-02-17 06:39:00,41577,5506,5841,0.45498910546302795,32,0.2,0.001,0.7922504544258118,0.8424990773200989,0.7427440881729126,0.7894828915596008,2.7684384577409054,2673,0.001035704623172804
68,2023-04-17 07:03:00,2023-12-17 06:51:00,2023-12-17 07:06:00,2024-01-17 06:45:00,2024-02-17 07:00:00,2024-03-17 06:54:00,41616,5876,5793,0.47448721528053284,32,0.2,0.001,0.7910343408584595,0.8574956059455872,0.7537984251976013,0.8023102283477783,4.368511360614273,2835,0.0015409211148551228
69,2023-05-17 07:06:00,2024-01-17 06:45:00,2024-01-17 07:03:00,2024-02-17 06:39:00,2024-03-17 07:00:00,2024-04-17 06:51:00,42331,5841,6158,0.45914629101753235,32,0.2,0.001,0.7764840722084045,0.836949348449707,0.7459712624549866,0.7888458371162415,4.501918195318559,3042,0.0014799205112815776
70,2023-06-17 07:09:00,2024-02-17 06:39:00,2024-02-17 07:00:00,2024-03-17 06:54:00,2024-04-17 07:00:00,2024-05-17 06:48:00,42923,5793,5764,0.45334360003471375,32,0.2,0.001,0.7822580933570862,0.8327376842498779,0.750644326210022,0.7895628809928894,3.4518881761442874,2798,0.00123369841892219
71,2023-07-17 06:57:00,2024-03-17 06:54:00,2024-03-17 07:00:00,2024-04-17 06:51:00,2024-05-17 06:57:00,2024-06-17 06:51:00,43504,6158,5653,0.48674270510673523,32,0.2,0.001,0.7904523611068726,0.8193010091781616,0.7420863509178162,0.778784453868866,2.208010806969378,2518,0.000876890709678069
72,2023-08-17 07:06:00,2024-04-17 06:51:00,2024-04-17 07:00:00,2024-05-17 06:48:00,2024-06-17 07:09:00,2024-07-17 06:54:00,44892,5764,5598,0.46965160965919495,32,0.2,0.001,0.7849404215812683,0.8196226358413696,0.7528595924377441,0.7848238348960876,2.9801631872004104,2650,0.001124589881962419
73,2023-09-17 07:27:00,2024-05-17 06:48:00,2024-05-17 06:57:00,2024-06-17 06:51:00,2024-07-17 07:00:00,2024-08-17 06:54:00,45584,5653,6014,0.4504273533821106,32,0.2,0.001,0.7803157567977905,0.8196887969970703,0.7576610445976257,0.7874553203582764,4.249607533869298,2956,0.0014376209519178951
74,2023-10-17 06:57:00,2024-06-17 06:51:00,2024-06-17 07:09:00,2024-07-17 06:54:00,2024-08-17 06:57:00,2024-09-17 06:54:00,46298,5598,5763,0.4679926633834839,32,0.2,0.001,0.773277223110199,0.8172042965888977,0.7336884140968323,0.7731977105140686,2.8594948995076064,2697,0.001060250240825957
75,2023-11-17 07:06:00,2024-07-17 06:54:00,2024-07-17 07:00:00,2024-08-17 06:54:00,2024-09-17 06:57:00,2024-10-17 06:54:00,46189,6014,5574,0.4730929136276245,32,0.2,0.001,0.7830975651741028,0.8106004595756531,0.7614902257919312,0.7852782607078552,2.821503013960529,2698,0.0010457757649964896
76,2023-12-17 07:06:00,2024-08-17 06:54:00,2024-08-17 06:57:00,2024-09-17 06:54:00,2024-10-17 07:09:00,2024-11-17 06:51:00,46697,5763,6001,0.4860042333602905,32,0.2,0.001,0.7863996028900146,0.8130990266799927,0.7881697416305542,0.8004403114318848,3.813524327324119,3130,0.0012183783793367792
77,2024-01-17 07:03:00,2024-09-17 06:54:00,2024-09-17 06:57:00,2024-10-17 06:54:00,2024-11-17 07:09:00,2024-12-17 06:54:00,46584,5574,5826,0.47821831703186035,32,0.2,0.001,0.7781824469566345,0.8136816620826721,0.7625644207000732,0.7872942090034485,3.469771599126748,2909,0.0011927712613017353
78,2024-02-17 07:00:00,2024-10-17 06:54:00,2024-10-17 07:09:00,2024-11-17 06:51:00,2024-12-17 06:57:00,2025-01-17 06:54:00,46317,6001,5805,0.46252870559692383,32,0.2,0.001,0.7869451642036438,0.8200351595878601,0.7661740779876709,0.7921901345252991,3.4956179831059297,2845,0.0012286882190179014
79,2024-03-17 07:00:00,2024-11-17 06:51:00,2024-11-17 07:09:00,2024-12-17 06:54:00,2025-01-17 06:57:00,2025-02-17 06:18:00,46525,5826,5786,0.4712757468223572,32,0.2,0.001,0.789381742477417,0.8128078579902649,0.7741286754608154,0.792996883392334,3.6495302333053172,2842,0.00128414153177527
80,2024-04-17 07:00:00,2024-12-17 06:54:00,2024-12-17 06:57:00,2025-01-17 06:54:00,2025-02-17 07:00:00,2025-02-20 15:09:00,46193,5805,634,0.45744946599006653,32,0.2,0.001,0.7909407615661621,0.8391608595848083,0.7643312215805054,0.800000011920929,0.2193775161674028,286,0.0007670542523335762
